municipio,criterio,item,encontrado,local_encontrado,local_encontrado_2
Esperança,Despesa Orçamentária,acao,TRUE,http://www.transparenciaativa.com.br/detalhesEmpenho.aspx?,
Esperança,Despesa Orçamentária,categoria_economica,TRUE,http://www.transparenciaativa.com.br/detalhesEmpenho.aspx?,
Esperança,Despesa Orçamentária,elemento,TRUE,http://www.transparenciaativa.com.br/detalhesEmpenho.aspx?,
Esperança,Despesa Orçamentária,emp_cnpj_cpf,TRUE,http://www.transparenciaativa.com.br/DespesaPorFavorecido.aspx,
Esperança,Despesa Orçamentária,emp_data,TRUE,http://www.transparenciaativa.com.br/DespesasComLicitacoes.aspx,
Esperança,Despesa Orçamentária,emp_indicacao_licitacao,TRUE,http://www.transparenciaativa.com.br/DespesasComLicitacoes.aspx,
Esperança,Despesa Orçamentária,emp_numero,TRUE,http://www.transparenciaativa.com.br/DespesasComLicitacoes.aspx,
Esperança,Despesa Orçamentária,emp_valor,TRUE,http://www.transparenciaativa.com.br/DespesasComLicitacoes.aspx,
Esperança,Despesa Orçamentária,funcao,TRUE,http://www.transparenciaativa.com.br/DespesasComLicitacoes.aspx,
Esperança,Despesa Orçamentária,lic_data_pag_ultima,FALSE,http://www.transparenciaativa.com.br/detalhesEmpenho.aspx?,
Esperança,Despesa Orçamentária,lic_modalidade,TRUE,http://www.transparenciaativa.com.br/detalhesEmpenho.aspx?,
Esperança,Despesa Orçamentária,lic_num_contrato,TRUE,http://www.transparenciaativa.com.br/detalhesEmpenho.aspx?,
Esperança,Despesa Orçamentária,lic_numero,TRUE,http://www.transparenciaativa.com.br/DespesasComLicitacoes.aspx,
Esperança,Despesa Orçamentária,lic_obj_servico,FALSE,http://www.transparenciaativa.com.br/detalhesEmpenho.aspx?,
Esperança,Despesa Orçamentária,modalidade,TRUE,http://www.transparenciaativa.com.br/detalhesEmpenho.aspx?,
Esperança,Despesa Orçamentária,natureza_despesa,TRUE,http://www.transparenciaativa.com.br/DespesasComLicitacoes.aspx,
Esperança,Despesa Orçamentária,orgao_or_uni_orcamentaria,TRUE,http://www.transparenciaativa.com.br/detalhesEmpenho.aspx,
Esperança,Despesa Orçamentária,programa,TRUE,http://www.transparenciaativa.com.br/DespesasComLicitacoes.aspx,
Esperança,Despesa Orçamentária,sub_elemento,TRUE,http://www.transparenciaativa.com.br/detalhesEmpenho.aspx?,
Esperança,Despesa Orçamentária,sub_funcao,TRUE,http://www.transparenciaativa.com.br/DespesasComLicitacoes.aspx,
Esperança,Despesa Orçamentária,valor_fixado,TRUE,http://www.transparenciaativa.com.br/DespesasComLicitacoes.aspx,
Esperança,Despesa Orçamentária,valor_liquidado,TRUE,http://www.transparenciaativa.com.br/DespesasComLicitacoes.aspx,
Esperança,Despesa Orçamentária,valor_pago,TRUE,http://www.transparenciaativa.com.br/DespesaPorElemento.aspx,
Esperança,Despesa Orçamentária,nome,TRUE,http://www.transparenciaativa.com.br/DespesasComLicitacoes.aspx,
Esperança,Receita Orçamentária,alinea,FALSE,NA,
Esperança,Receita Orçamentária,uni_gestora,FALSE,NA,
Esperança,Receita Orçamentária,arrecadacao,TRUE,NA,
Esperança,Receita Orçamentária,categoria_economica,TRUE,http://www.transparenciaativa.com.br/Receita2018.aspx,
Esperança,Receita Orçamentária,especie,FALSE,,
Esperança,Receita Orçamentária,lancado,TRUE,http://www.transparenciaativa.com.br/DetalhesReceita.aspx,
Esperança,Receita Orçamentária,origem,TRUE,http://www.transparenciaativa.com.br/DetalhesReceita.aspx,
Esperança,Receita Orçamentária,previsao,TRUE,http://www.transparenciaativa.com.br/DetalhesReceita.aspx,
Esperança,Receita Orçamentária,rubrica,FALSE,http://www.transparenciaativa.com.br/Receita2018.aspx,
Esperança,Receita Orçamentária,sub_alinea,FALSE,NA,
Esperança,Despesa Extra Orçamentária,valor,TRUE,http://www.transparenciaativa.com.br/DespesaExtraDetalhada.aspx,
Esperança,Despesa Extra Orçamentária,codigo,TRUE,http://www.transparenciaativa.com.br/DespesaExtraDetalhada.aspx,
Esperança,Despesa Extra Orçamentária,nomenclatura,TRUE,http://www.transparenciaativa.com.br/DespesaExtraDetalhada.aspx,
Esperança,Receita Extra Orçamentária,valor,TRUE,http://www.transparenciaativa.com.br/ReceitaExtraOrcamentaria.aspx,
Esperança,Receita Extra Orçamentária,codigo,TRUE,http://www.transparenciaativa.com.br/ReceitaExtraOrcamentaria.aspx,
Esperança,Receita Extra Orçamentária,nomenclatura,TRUE,http://www.transparenciaativa.com.br/ReceitaExtraOrcamentaria.aspx,
Esperança,Quadro Pessoal,nome,FALSE,,
Esperança,Quadro Pessoal,cpf,FALSE,,
Esperança,Quadro Pessoal,cargo,FALSE,,
Esperança,Quadro Pessoal,tipo_cargo,FALSE,,
Esperança,Quadro Pessoal,salario_cargo,FALSE,,
Esperança,Licitação,numero_licitacao,TRUE,http://www.transparenciaativa.com.br/Licitacoes.aspx,http://www.transparenciaativa.com.br/LicitacaoCompleta
Esperança,Licitação,objeto_licitacao,TRUE,http://www.transparenciaativa.com.br/Licitacoes.aspx,http://www.transparenciaativa.com.br/LicitacaoCompleta
